No,Category,Word,POS,Phonetic,Meaning,Synonym,Example_EN,Example_JA,Level
1843,,playful,形,/ˈpɫeɪfəɫ/,遊びが好きな、ふざけた,"類: lively, frisky 反: sedate, gloomy",Those playful children like to scream.,あの遊び好きな子どもたちは叫ぶのが好きだ。,コア単語 レベル2
1844,,persuasive,形,/pɝˈsweɪsɪv/,説得力のある,"類: convincing, credible",give persuasive speeches,説得力のあるスピーチをする,コア単語 レベル2
1845,,abound,動,/əˈbaʊnd/,豊富にある,"類: flourish, thrive",abound with forests and mountains,森林や山が豊富だ,コア単語 レベル2
1846,,astounding,形,/əˈstaʊndɪŋ/,驚くべき,"類: surprising, amazing, startling",astounding sales figures,驚異的な売上高,コア単語 レベル2
1847,,comrade,名,/ˈkɑmˌɹæd/,仲間、同志,"類: companion, fellow, colleague",drink with one's old comrades,古い仲間と一緒に飲む,コア単語 レベル2
1848,,audit,名 / 動,/ˈɔdɪt/,[名] 監査、会計検査 [動] を監査する,"類: examine, inspect",An audit is carried out annually.,監査は毎年実施される。,コア単語 レベル2
1849,,axis,名,/ˈæksəs/,軸 （（複）axes）,"類: shaft, pivot",spin on its axis,軸をもとに回っている,コア単語 レベル2
1850,,bewilder,動,/bɪˈwɪɫdɝ/,を当惑させる,"類: annoy, perplex, confuse",be bewildered by the number of tasks,仕事の数に困惑している,コア単語 レベル2
1851,,blink,動 / 名,/ˈbɫɪŋk/,[動] ①まばたきをする ②点滅する [名] ①まばたき ②ちらつき,"類: wink, bat",blink to protect one's eyes,目を守るためにまばたきをする,コア単語 レベル2
1852,,blur,名 / 動,/ˈbɫɝ/,[名] ぼやけ、不鮮明な状態 [動] をぼやけさせる,"類: dim, obscure 反: clear",My childhood memories are a blur.,私の子どもの頃の記憶はぼんやりしている。,コア単語 レベル2
1853,,caption,名,/ˈkæpʃən/,①（記事などの）見出し ②（映画などの）字幕,"類: heading, title, subtitle",The poster has a caption.,ポスターには見出しがついている。,コア単語 レベル2
1854,,circulate,動,/ˈsɝkjəˌɫeɪt/,①（液体・気体が）循環する ②（貨幣が）流通する,類: cycle,Blood circulates all around the body.,血液は体全体を循環する。,コア単語 レベル2
1855,,clatter,名 / 動,/ˈkɫætɝ/,[名] ①ガタガタする音 ②騒々しい声 [動] ①ガタガタ音を立てる ②ガヤガヤとざわめく,"類: chatter, clack",shake and clatter,揺れてカタカタと音を立てる,コア単語 レベル2
1856,,flawless,形,/ˈfɫɔɫəs/,欠点のない、完璧な,類: perfect,a flawless performance,完璧な演技,コア単語 レベル2
1857,,cling,動,/ˈkɫɪŋ/,①くっつく、しがみつく ②（習慣などに）執着する,"類: adhere, stick",cling to one's mother,母親にしがみつく,コア単語 レベル2
1858,,accredited,形,/əˈkɹɛdɪtɪd/,認定［認可］された,"類: certified, authorized",a degree from an accredited university,認可された大学の学位,コア単語 レベル2
1859,,afflict,動,/əˈfɫɪkt/,（身体的または精神的に）を苦しめる,"類: inflict, torment",be afflicted with the disease,その病気に苦しむ,コア単語 レベル2
1860,,ascertain,動,/ˌæsɝˈteɪn/,を解明する,"類: detect, discover, learn",The side effects have not been ascertained yet.,副作用はまだ解明されていない。,コア単語 レベル2
1861,,clutch,動,/ˈkɫətʃ/,をつかむ［握る］,"類: snatch, grip, hold",clutch one's gold medal,金メダルを握りしめる,コア単語 レベル2
1862,,compile,動,/kəmˈpaɪɫ/,を編集する、を集める,類: edit,compile a catalogue,カタログをまとめる,コア単語 レベル2
1863,,exterminate,動,/ɪkˈstɝməˌneɪt/,を絶滅させる,"類: eradicate, extinguish, annihilate",exterminate the invasive species,その外来種を駆除する,コア単語 レベル2
1864,,compress,動,"/ˈkɑmpɹɛs/, /kəmˈpɹɛs/",を圧縮する、を圧迫する,"類: shrink 反: expand, stretch",compress the data,そのデータを圧縮する,コア単語 レベル2
1865,,concise,形,/kənˈsaɪs/,簡潔な,"類: short, simple",a concise explanation of how the war started,どのようにしてその戦争が起きたのかについての簡潔な説明,コア単語 レベル2
1866,,avail,名,/əˈveɪɫ/,効力、価値 （(動) 価値がある、効力がある）,"類: advantage, benefit, help",to no avail,効力がなく,コア単語 レベル2
1867,,intercept,動,"/ˌɪnɝˈsɛpt/, /ˌɪntɝˈsɛpt/",を迎撃する,,intercept a flying missile,飛行中のミサイルを迎撃する,コア単語 レベル2
1868,,avid,形,"/ˈævəd/, /ˈævɪd/",熱心な、貪欲な,"類: enthusiastic, eager 反: unconcerned",an avid reader,熱心な読書家,コア単語 レベル2
1869,,confer,動,/kənˈfɝ/,①を授与する ②相談する、協議する,"類: give, award, discuss",without conferring with us,私たちに相談することなく,コア単語 レベル2
1870,,cripple,動 / 名,/ˈkɹɪpəɫ/,[動] ①（機能など）を損なわせる ②（手足）を不自由にする [名] （手足の）身体障がい者,"類: disable, (the) disabled",be crippled after the earthquake,その地震の後、機能停止になる,コア単語 レベル2
1871,,defective,形,/dɪˈfɛktɪv/,欠陥のある,"類: faulty, flawed 反: intact",find a few defective parts,いくつかの欠陥部品を見つける,コア単語 レベル2
1872,,graffiti,名,/ɡɹəˈfiti/,グラフィティ、落書き,,stop graffiti on the walls,壁の落書きを無くす,コア単語 レベル2
1873,,desolate,形,"/ˈdɛsəˌɫeɪt/, /ˈdɛsəɫət/, /ˈdɛzəɫət/",荒れ果てた、荒涼とした、無人の,"類: deserted, empty, bleak",the desolate remains of the town,その町の荒廃した遺跡,コア単語 レベル2
1874,,devastate,動,/ˈdɛvəˌsteɪt/,を壊滅させる,類: ruin,devastate the whole village,村全体を壊滅させる,コア単語 レベル2
1875,,dismal,形,/ˈdɪzməɫ/,（天気・雰囲気などが）暗い、陰鬱な,"類: bleak, somber, gloomy 反: cheerful, bright",if it weren't for the dismal weather,天気がひどくなければ,コア単語 レベル2
1876,,agreeable,形,/əˈɡɹiəbəɫ/,①賛成できる ②快適な ③好ましい,"類: pleasant, delightful 反: disagreeable",sound very agreeable,かなり賛成できるものに聞こえる,コア単語 レベル2
1877,,displace,動,/dɪsˈpɫeɪs/,①を置き換える ②に取って代わる ③を立ち退かせる,"類: replace, evict",be displaced due to the fighting,戦闘のために避難させられる,コア単語 レベル2
1878,,interchangeable,形,"/ˌɪnɝˈtʃeɪndʒəbəɫ/, /ˌɪntɝˈtʃeɪndʒəbəɫ/",（互いに）交換可能な,類: exchangeable,be often interchangeable,しばしば互換的である,コア単語 レベル2
1879,,divert,動,"/daɪˈvɝt/, /dɪˈvɝt/",をそらす、を方向転換する,"類: deflect, distract, sidetrack",divert traffic from the city centre,市内中心部から交通をそらす,コア単語 レベル2
1880,,elastic,形,/ɪˈɫæstɪk/,弾力性のある,"類: rubbery, resilient",be made of elastic rubber,弾性のあるゴムで作られている,コア単語 レベル2
1881,,deficiency,名,/dɪˈfɪʃənsi/,不足,"類: lack, shortage 反: sufficiency",because of a deficiency of data,データの不足のため,コア単語 レベル2
1882,,eloquent,形,/ˈɛɫəkwənt/,雄弁な,類: fluent,Politicians are eloquent speakers.,政治家は雄弁な話し手だ。,コア単語 レベル2
1883,,eminent,形,/ˈɛmənənt/,著名な、有名な,"類: famous, noted, distinguished",an eminent journalist,著名なジャーナリスト,コア単語 レベル2
1884,,encode,動,/ɛnˈkoʊd/,を符号［コード］化する,反: decode,be encoded into our DNA,私たちのDNAにコード化されている,コア単語 レベル2
1885,,wary,形,/ˈwɛɹi/,用心深い、慎重な,類: careful,be wary of getting involved with him,彼と関わることに用心する,コア単語 レベル2
1886,,endeavour,名 / 動,/ɪnˈdɛvɝ/,[名] 努力、試み [動] 努力する,"類: effort, struggle",one's endeavour to reach the South Pole,南極点到達の試み,コア単語 レベル2
1887,,engross,動,/ɪnˈɡɹoʊs/,を夢中にさせる,"類: absorb, fascinate, preoccupy",be engrossed in reading fantasy books,空想小説を読むのに夢中になっている,コア単語 レベル2
1888,,conspiracy,名,/kənˈspɪɹəsi/,陰謀,"類: plot, scheme",be involved in a conspiracy,陰謀に関与している,コア単語 レベル2
1889,,contrive,動,/kənˈtɹaɪv/,①（計画・悪事など）を立てる［企てる］ ②を考案する,"類: plot, devise, scheme",contrive a new system,新しいシステムを考案する,コア単語 レベル2
1890,,credible,形,/ˈkɹɛdəbəɫ/,信頼できる、信じられる,"類: reliable, trustworthy 反: incredible, doubtful",a credible source of information,信頼できる情報源,コア単語 レベル2
1891,,entangle,動,/ɛnˈtæŋɡəɫ/,（ネットなどに）を絡ませる,"類: tangle, intertwine",get entangled in the net,ネットに絡まる,コア単語 レベル2
1892,,expire,動,/ɪkˈspaɪɹ/,期限が切れる,"類: end, run out",My driving license expires today.,私の運転免許証は今日で期限切れになる。,コア単語 レベル2
1893,,doom,名 / 動,/ˈdum/,[名] 死、破滅、運命 [動] を悪い方へ運命づける,"類: fate, misfortune",The dictator met his doom.,その独裁者は死を迎えた。,コア単語 レベル2
1894,,duly,副,/ˈduɫi/,正当に、正式に,"類: correctly, rightfully",The peace agreement was duly signed.,平和協定が正式に署名された。,コア単語 レベル2
1895,,fury,名,/ˈfjʊɹi/,激怒,"類: anger, rage",the fury of that customer,その客の激怒,コア単語 レベル2
1896,,gigantic,形,"/dʒaɪˈɡænɪk/, /dʒaɪˈɡæntɪk/",巨大な,"類: colossal, monstrous 反: small, tiny",take on a gigantic debt,巨大な負債を抱える,コア単語 レベル2
1897,,glare,動 / 名,/ˈɡɫɛɹ/,[動] ギラギラ光る [名] まぶしい光,"類: ray, shine",The sunlight is glaring.,日光がまぶしく輝いている。,コア単語 レベル2
1898,,harmonise,動,,①調和する ②を調和させる,"類: balance, integrate",harmonise well with the piano,ピアノとよく調和している,コア単語 レベル2
1899,,hinder,動,/ˈhɪndɝ/,を妨げる［妨害する］,"類: prevent, deter, impede",hinder plant growth,植物の成長を妨げる,コア単語 レベル2
1900,,hinge,名 / 動,/ˈhɪndʒ/,[名] ちょうつがい [動] (hinge on 〜で) 〜で決まる、〜次第である,"類: flap, depend",attach new hinges to the door and doorframe,ドアとドア枠に新しいちょうつがいを取りつける,コア単語 レベル2
1901,,idealistic,形,/aɪˌdiəˈɫɪstɪk/,理想主義的な,"類: romantic, utopian",from an idealistic point of view,理想主義的な視点から見れば,コア単語 レベル2
1902,,illuminate,動,/ˌɪˈɫumɪnɪt/,を照らす,"類: brighten, shine 反: darken",be beautifully illuminated,美しく照らされる,コア単語 レベル2
1903,,immerse,動,/ˌɪˈmɝs/,を（液体に完全に）浸す,"類: dip, soak",immerse the cooked soba noodles in ice water,氷水に調理したそばを浸す,コア単語 レベル2
1904,,inherent,形,"/ɪnˈhɛɹənt/, /ɪnˈhɪɹənt/",生来の、固有の,"類: essential, innate, intrinsic 反: alien, foreign",believe in the inherent human rights,生来の人権を信じる,コア単語 レベル2
1905,,devour,動,/dɪˈvaʊɝ/,をむさぼり食う,"類: gobble, wolf",devour the meat,肉をむさぼり食べる,コア単語 レベル2
1906,,prestigious,形,"/pɝˈstidʒəs/, /pɹɛˈstɪdʒəs/",名誉ある、名門の、一流の,,go to a prestigious university,名門大学に進学する,コア単語 レベル2
1907,,dignify,動,/ˈdɪɡnəˌfaɪ/,に威厳を持たせる,類: glorify,look dignified at the ceremony,式典で威厳があるように見える,コア単語 レベル2
1908,,exquisitely,副,/ˌɛksˈkwɪzɪtɫi/,精巧に,類: finely,be written exquisitely,精巧に書かれている,コア単語 レベル2
1909,,foresee,動,/fɔɹˈsi/,を予見する,"類: forecast, predict",cannot foresee what will happen,何が起こるかを予見することはできない,コア単語 レベル2
1910,,discriminate,動,/dɪsˈkɹɪməˌneɪt/,差別する,類: segregate,discriminate against poor people,貧しい人々を差別する,コア単語 レベル2
1911,,lament,動 / 名,/ɫəˈmɛnt/,[動] ①を嘆く ②に失望する [名] 嘆き,"類: deplore, grieve",stop lamenting one's failure,失敗を嘆くのをやめる,コア単語 レベル2
1912,,lapse,名 / 動,/ˈɫæps/,[名] ①（時の）経過、間 ②過失 [動] 過ぎる,"類: passage, failure",have a lapse in one's exercise routine,定期的な運動に間を置く,コア単語 レベル2
1913,,leftover,名 / 形,/ˈɫɛfˌtoʊvɝ/,[名] （通常（複）で）残り物 [形] （食べ物などの）残った,類: remainder,use some leftovers from last night,昨晩の残り物を使う,コア単語 レベル2
1914,,linear,形,/ˈɫɪniɝ/,①線の ②直線的な,反: curved,move in a linear direction,直線的な方向に動く,コア単語 レベル2
1915,,magnify,動,/ˈmæɡnəˌfaɪ/,①を拡大する ②を誇張する,"類: enlarge, exaggerate 反: shrink, diminish",magnify words on a page,ページ上の文字を拡大する,コア単語 レベル2
1916,,knack,名,/ˈnæk/,コツ、特技,類: hang,have a knack for solving puzzles,パズルを解く才能を持っている,コア単語 レベル2
1917,,merchandise,名,/ˈmɝtʃənˌdaɪz/,商品,"類: goods, commodity",all kinds of merchandise,あらゆる種類の商品,コア単語 レベル2
1918,,disdain,名 / 動,/dɪsˈdeɪn/,[名] 軽蔑 [動] を軽蔑する,"類: despise, contempt 反: admire, admiration",look at the sleeping man with disdain,その眠っている男を軽蔑して見る,コア単語 レベル2
1919,,integrity,名,"/ˌɪnˈtɛɡɹəti/, /ɪnˈtɛɡɹɪti/",誠実、高潔,"類: honesty, sincerity 反: dishonesty",a person of integrity,誠実な人,コア単語 レベル2
1920,,misplace,動,/mɪsˈpɫeɪs/,を間違ったところに置く、を置き忘れる,類: mislay,I misplaced the key.,私はカギを間違った場所に置いた。,コア単語 レベル2
1921,,mobilise,動,,（軍隊など）を動員する,,be mobilised to help in the Olympic Games,オリンピックを手伝うために動員される,コア単語 レベル2
1922,,polarise,動,,を二極化させる、を対立させる,,be polarised due to extreme opinions,極端な意見によって分極化される,コア単語 レベル2
1923,,negligible,形,"/ˈnɛɡɫədʒəbəɫ/, /ˈnɛɡɫɪdʒəbəɫ/",無視できる、取るに足らない,類: trivial,worry about a negligible error,些細な誤りについて心配する,コア単語 レベル2
1924,,manifest,動 / 形,/ˈmænəˌfɛst/,[動] を実現させる、を明らかにする [形] 明白な,"類: display, reveal, clear, evident 反: conceal, hide",manifest one's dreams this year,今年、自分の夢を実現させる,コア単語 レベル2
1925,,pragmatic,形,/pɹæɡˈmætɪk/,実用的な、実利主義の,類: functional,find a more pragmatic solution,より実用的な解決策を見つける,コア単語 レベル2
1926,,precede,動,/pɹɪˈsid/,に先行する［先立つ］,,precede the state dinner,晩餐会の前に行われる,コア単語 レベル2
1927,,memorable,形,/ˈmɛmɝəbəɫ/,記憶に残る,"類: unforgettable 反: forgettable, unmemorable",the most memorable moment of one's life,人生で最も記憶に残る瞬間,コア単語 レベル2
1928,,nostalgic,形,/nɔˈstæɫdʒɪk/,郷愁の、懐かしい,,have nostalgic feelings,懐かしい感情を抱く,コア単語 レベル2
1929,,outreach,名 / 動,/ˈaʊˌtɹitʃ/,[名] 手を差し伸べること、支援活動 [動] 手を差し伸べる,類: support,the outreach of the local government,地方政府の支援,コア単語 レベル2
1930,,overlap,動,/ˈoʊvɝˌɫæp/,重なる、重複する,,notice our voices overlapping,私たちの声が重なっているのに気づく,コア単語 レベル2
1931,,pave the way for,,,①への道を切り開く ②を容易にする,,pave the way for an effective medicine,効果的な医薬品への道を開く,コア単語 レベル2
1932,,perplexing,形,/pɝˈpɫɛksɪŋ/,①困惑させる ②理解しがたい,類: confusing,answer the perplexing question,その困惑する質問に答える,コア単語 レベル2
1933,,afloat,形,/əˈfɫoʊt/,浮かんで,類: float,keep one's old ship afloat,古い船を浮かせておく,コア単語 レベル2
1934,,perseverance,名,/ˌpɝsəˈvɪɹəns/,忍耐、不屈の努力,類: patience,take great perseverance,多大な忍耐が必要だ,コア単語 レベル2
1935,,sterile,形,/ˈstɛɹəɫ/,①不妊の ②不毛の ③殺菌された,反: fertile,want one's pets to be sterile,ペットを不妊にしたいと考える,コア単語 レベル2
1936,,subdue,動,/səbˈdu/,①（感情など）を抑える ②を征服する,"類: suppress, constrain",He subdued his laugh.,彼は笑いを抑えた。,コア単語 レベル2
1937,,posture,名,/ˈpɑstʃɝ/,①（体の）姿勢 ②態度,類: attitude,sit in that posture for a long time,長時間その姿勢で座る,コア単語 レベル2
1938,,notwithstanding,前 / 副,/ˌnɑtwɪθˈstændɪŋ/,[前] にもかかわらず [副] それにもかかわらず,"類: despite, in spite of",notwithstanding a few low test scores,何度かテストの点が低かったにもかかわらず,コア単語 レベル2
1939,,novice,名,/ˈnɑvəs/,初心者、未熟者,"類: beginner, starter, apprentice",The novices will be instructed.,初心者は指導される。,コア単語 レベル2
1940,,obstruct,動,/əbˈstɹəkt/,①を妨害する ②を塞ぐ,"類: hinder, hamper",The huge rock obstructed the road.,巨大な岩が道を塞いだ。,コア単語 レベル2
1941,,proportional,形,/pɹəˈpɔɹʃənəɫ/,比例の、釣り合った,反: disproportional,be proportional to its location,立地に比例する,コア単語 レベル2
1942,,recede,動,/ɹɪˈsid/,後退する、遠のく,反: reverse,The coastline is receding rapidly.,海岸線が急速に後退している。,コア単語 レベル2
1943,,plea,名,/ˈpɫi/,嘆願、訴え,類: appeal,make a plea to end discrimination,差別を終わらせるように訴える,コア単語 レベル2
1944,,recipient,名,"/ɹəˈsɪpiənt/, /ɹɪˈsɪpiənt/",受取人、受領者,反: donor,the recipients of the prize,その賞の受賞者たち,コア単語 レベル2
1945,,inflict,動,/ˌɪnˈfɫɪkt/,（苦痛など）を与える,類: impose,inflict stress on one's guests,招待客にストレスをかける,コア単語 レベル2
1946,,ridicule,動 / 名,/ˈɹɪdəkˌjuɫ/,[動] をあざ笑う、を嘲笑する [名] 嘲笑,類: mock,ridicule Picasso's art,ピカソの芸術作品を嘲笑する,コア単語 レベル2
1947,,ripple,名,/ˈɹɪpəɫ/,さざ波、波紋,類: ruffle,make ripples in the water,水面に波紋ができる,コア単語 レベル2
1948,,rotten,形,/ˈɹɑtən/,①腐った ②（道徳的に）腐敗した,類: spoilt,smell like rotten eggs,腐った卵のようなにおいがする,コア単語 レベル2
1949,,surpass,動,/sɝˈpæs/,をを超える,"類: exceed, transcend",surpass the highest level,最高水準を上回る,コア単語 レベル2
1950,,wring,動,/ˈɹɪŋ/,を絞る、をねじる,類: squeeze 反: straighten,wring one's laundry by hand,手で洗濯物を絞る,コア単語 レベル2
1951,,rudiment,名,/ˈɹudɪmənt/,(the rudiments で) 初歩、基礎,類: basic,learn the rudiments of maths,数学の基礎を学ぶ,コア単語 レベル2
1952,,rumble,動,/ˈɹəmbəɫ/,①ゴロゴロ低い音を立てる ②（おなかが）グーグー鳴る,類: grumble,The thunder rumbled outside.,外で雷が鳴った。,コア単語 レベル2
1953,,shove,動,/ˈʃəv/,を押す、を突く,"類: push, thrust",shove other passengers,他の乗客を押す,コア単語 レベル2
1954,,shrewd,形,/ˈʃɹud/,抜け目のない、賢い,"類: astute, clever, sharp",Shrewd viewers recognised that report as fake news.,賢い視聴者はその報道がフェイクニュースだとわかった。,コア単語 レベル2
1955,,relish,動 / 名,/ˈɹɛɫɪʃ/,[動] を楽しむ、を味わう [名] 風味、味わい,"類: enjoy, savour",relish one's victory,勝利を噛みしめる,コア単語 レベル2
1956,,disprove,動,/dɪsˈpɹuv/,の誤りを証明する,"類: refute, invalidate",disprove the idea,その考えの誤りを立証する,コア単語 レベル2
1957,,editorial,名 / 形,/ˌɛdəˈtɔɹiəɫ/,[名] 社説 [形] 編集の,類: commentary,read an editorial in the newspaper,新聞で社説を読む,コア単語 レベル2
1958,,repel,動,/ɹɪˈpɛɫ/,を撃退する、を跳ね返す,類: fend off,repel the enemy with arrows,矢で敵を撃退する,コア単語 レベル2
1959,,revitalise,動,,①を活性化する、を復興する ②に新たな命を吹き込む,"類: rejuvenate, refresh, renew",revitalise one's local economy,地域経済を活性化する,コア単語 レベル2
1960,,shudder,動 / 名,/ˈʃədɝ/,[動] 震える、身震いする [名] 振動、身震い,"類: tremble, quiver",I saw my dog shudder.,私は飼い犬が震えるのを見た。,コア単語 レベル2
1961,,subsidiary,形 / 名,/səbˈsɪdiˌɛɹi/,[形] ①補助的な ②従属的な [名] 子会社,"類: auxiliary, supplemental",a subsidiary of the corporation,その企業の子会社,コア単語 レベル2
1962,,affluent,形,/ˈæfɫuənt/,裕福な,"類: wealthy, prosperous, rich",Some affluent residents donated generously.,一部の裕福な住民は寛大に寄付した。,コア単語 レベル2
1963,,swallow,動,"/ˈswɑɫoʊ/, /ˈswɔɫoʊ/",を飲み込む,類: consume,swallow one's prey whole,丸ごと獲物を飲み込む,コア単語 レベル2
1964,,tickle,動,/ˈtɪkəɫ/,をくすぐる,類: titillate,My children tickle my feet.,子どもたちが私の足をくすぐる。,コア単語 レベル2
1965,,tilt,動 / 名,/ˈtɪɫt/,[動] ①を傾ける ②傾く [名] 傾き,"類: incline, slant, lean",tilt one's head a little to the left,もう少し左に頭を傾ける,コア単語 レベル2
1966,,tribute,名,/ˈtɹɪbjut/,①敬意、賛辞 ②貢ぎ物,"類: honour, accolade",a tribute to his many years of hard work,彼の長年の努力への賛辞,コア単語 レベル2
1967,,vent,名 / 動,/ˈvɛnt/,[名] 通気口、穴 [動] （感情）を発散する、を表に出す,類: outlet,have vents to let in fresh air,新鮮な空気を入れるための通気口がある,コア単語 レベル2
1968,,worsen,動,/ˈwɝsən/,を悪化させる、悪くなる,"類: deteriorate, aggravate",His condition worsened.,彼の状態は悪化した。,コア単語 レベル2
1969,,suffice,動,/səˈfaɪs/,十分である、満足させる,類: sufficient,The two-day training programme would suffice for you.,その2日のトレーニングプログラムで君には十分だ。,コア単語 レベル2
1970,,summon,動,/ˈsəmən/,を呼び出す、を召喚する,"類: call, convene, assemble",be summoned to court,裁判所に召喚される,コア単語 レベル2
1971,,yarn,名,/ˈjɑɹn/,①糸 ②作り話,"類: string, narrative",have colourful yarn to knit a sweater,セーターを編むために色とりどりの糸を持っている,コア単語 レベル2
1972,,affirm,動,/əˈfɝm/,①を断言する ②を支持する,"類: confirm, assert, declare 反: affirmative",affirm one's loyalty to the company,会社への忠誠を誓う,コア単語 レベル2
1973,,discern,動,/dɪˈsɝn/,①を識別する、を見分ける ②に気づく、を理解する,"類: detect, recognize",discern many grammatical errors,多くの文法的な誤りを識別する,コア単語 レベル2
1974,,airy,形,/ˈɛɹi/,①風通しのよい ②非現実的な、実体のない,類: breezy,the airy balcony,その風通しのよいバルコニー,コア単語 レベル2
1975,,zeal,名,/ˈziɫ/,熱意、熱中,"類: enthusiasm, fervour, passion 反: zealous",have the zeal to change the world,世界を変える熱意がある,コア単語 レベル2
1976,,anonymous,形,/əˈnɑnəməs/,匿名の、無名の,類: unidentified 反: anonymity,can be anonymous on the internet,インターネット上で匿名でいられる,コア単語 レベル2
1977,,centenary,形,/ˈsɛntəˌnɛɹi/,100周年の (名) 100周年 (米) centennial,類: century,celebrate our school's centenary,私たちの学校の創立100周年を祝う,コア単語 レベル2
1978,,indulge,動,/ˌɪnˈdəɫdʒ/,①を甘やかす ②思う存分食する,"類: pamper, spoil 反: indulgent",indulge in rich desserts,こってりしたデザートを思う存分楽しむ,コア単語 レベル2
1979,,chatter,動,/ˈtʃætɝ/,（早口で）ぺちゃくちゃしゃべる,類: babble,be annoyed by their chattering,彼らのしゃべり声に悩まされる,コア単語 レベル2
1980,,confidential,形,/ˌkɑnfəˈdɛnʃəɫ/,機密の、秘密の,"類: secret, classified 反: confidentiality",send confidential information,機密情報を送る,コア単語 レベル2
1981,,aid,名,/ˈeɪd/,援助、助力 ②手当,"類: assistance, help, support",Emergency aid was provided to the victims.,被災者に緊急援助が提供された。,コア単語 レベル2
1982,,mass,名,/ˈmæs/,①大きなかたまり ②多量,類: bulk 反: massive,see the dark mass of clouds,暗い雲のかたまりが見える,コア単語 レベル2
1983,,grit,名,/ˈɡɹɪt/,粘り強さ、根性,"類: perseverance, courage",need to show more grit,もっと根気強さを見せる必要がある,コア単語 レベル2
1984,,conform to,動,,に従う ②一致する,"類: adhere to, comply with, follow",conform to the rules of the religion,その宗教の規則に従う,コア単語 レベル2
1985,,dilemma,名,/dɪˈɫɛmə/,ジレンマ、板挟み,類: predicament,a dilemma about where to visit,どこを訪れるべきかのジレンマ,コア単語 レベル2
1986,,console,動,"/ˈkɑnsoʊɫ/, /kənˈsoʊɫ/",を慰める,"類: comfort, soothe",He consoled his wife.,彼は妻を慰めた。,コア単語 レベル2
1987,,bulky,形,/ˈbəɫki/,かさばった、大きい,類: cumbersome 反: bulk,put bulky baggage over there,大きな荷物を向こうに置く,コア単語 レベル2
1988,,crude,形,/ˈkɹud/,①粗野な ②未加工の ③雑な,類: raw,be built with crude tools,粗末な道具で作られる,コア単語 レベル2
1989,,disbelief,名,/ˌdɪsbɪˈɫif/,不信、疑惑,"類: scepticism, doubt",be in a state of disbelief,不信感を抱いた状態にある,コア単語 レベル2
1990,,endorse,動,/ɛnˈdɔɹs/,を支持する、を認証する,"類: support, back 反: endorsement",be endorsed by one's organisation,自分の組織から支持される,コア単語 レベル2
1991,,neutralise,動,,を中和する,類: offset 反: neutralisation,neutralise the summer heat,夏の暑さを和らげる,コア単語 レベル2
1992,,outfit,名,/ˈaʊtˌfɪt/,①服装一式 ②装備一式,類: attire,a jacket that completes one's outfit,自分の服装を完成させるジャケット,コア単語 レベル2
1993,,paradoxical,形,/ˌpɛɹəˈdɑksɪkəɫ/,逆説的な,類: contradictory 反: paradox,It may sound paradoxical.,逆説的に聞こえるかもしれない。,コア単語 レベル2
1994,,explanatory,形,/ɪksˈpɫænəˌtɔɹi/,説明的な、解説の,類: explanation,without the explanatory notes,解説文なしで,コア単語 レベル2
1995,,incidentally,副,"/ˌɪnsɪˈdɛntəɫi/, /ˌɪnsɪˈdɛntɫi/",①ちなみに ②偶然に,類: accidentally 反: incidental,"Incidentally, Ms. Green will be here tomorrow.",ちなみに、グリーンさんは明日ここに来ます。,コア単語 レベル2
1996,,discredit,動,/dɪsˈkɹɛdət/,の信用を失わせる,類: undermine,discredit one's rival,対抗相手の信用を失わせる,コア単語 レベル2
1997,,charitable,形,"/ˈtʃæɹətəbəɫ/, /ˈtʃɛɹətəbəɫ/",①慈善を行う ②気質のよい,"類: philanthropic, generous 反: charity",do volunteer work for a charitable organisation,慈善団体のボランティア活動をする,コア単語 レベル2
1998,,voucher,名,/ˈvaʊtʃɝ/,クーポン、引換券 ②領収書,類: coupon,have a voucher code,割引コードを持っている,コア単語 レベル2
1999,,intrude,動,/ˌɪnˈtɹud/,①邪魔をする ②侵入する,"類: invade, trespass, encroach 反: intrusion",intrude into one's personal affairs,個人的な問題に干渉する,コア単語 レベル2
2000,,mighty,形,/ˈmaɪti/,強力な、力強い,"類: powerful, strong 反: might",The mighty leader said he would do anything.,その強力な指導者は、何でもすると言った。,コア単語 レベル2
2001,,ornament,名,/ˈɔɹnəmənt/,装飾品、飾り,"類: decoration, embellishment, adornment",decorate the Christmas tree with beautiful ornaments,美しい装飾品でクリスマスツリーを飾る,コア単語 レベル2
2002,,clack,名 / 動,/ˈkɫæk/,[名] （固いもの同士がぶつかる）カツカツという音 [動] ①カタカタ鳴る ②おしゃべりする,"類: clutter, rattle",walk with one's wooden sandals clacking,下駄をカランコロンと鳴らしながら歩く,コア単語 レベル2
2003,,concession,名,/kənˈsɛʃən/,①譲歩 ②（通例（複）で）割引,類: compromise,You should never make any concessions to him.,決して彼に譲歩してはならない。,コア単語 レベル2
2004,,outgoing,形,/ˈaʊtˌɡoʊɪŋ/,社交的な、外向的な,"類: extroverted, sociable",have a very outgoing personality,とても社交的な性格をしている,コア単語 レベル2
2005,,pressurise,動,,に圧力をかける,"類: coerce, urge",The can is pressurised.,缶は圧力をかけられている。,コア単語 レベル2
2006,,rivalry,名,/ˈɹaɪvəɫɹi/,競争、ライバル関係,"類: competition, contest",have a friendly rivalry with one another,お互いに友好的なライバル関係を持っている,コア単語 レベル2
